iter	MultiClass
0	1.386294464
1	1.386294464
2	1.386294464
3	1.385980649
4	1.385761865
5	1.385761865
6	1.385761865
7	1.385761865
8	1.385761865
9	1.385761753
10	1.385761865
11	1.385503139
12	1.385503251
13	1.385503139
14	1.385139621
15	1.385139621
16	1.385139509
17	1.385139509
18	1.384884036
19	1.384883924
20	1.384884036
21	1.384884036
22	1.384884036
23	1.384883924
24	1.384883924
25	1.384883924
26	1.384883924
27	1.384884036
28	1.384883924
29	1.384525006
30	1.384170239
31	1.384170239
32	1.384170239
33	1.384170239
34	1.384170127
35	1.384170239
36	1.384170127
37	1.383982982
38	1.38398287
39	1.383587824
40	1.383587712
41	1.383587712
42	1.383587712
43	1.383587712
44	1.383587712
45	1.383587712
46	1.38343389
47	1.383433778
48	1.383433778
49	1.38328119
50	1.383281078
51	1.383281078
52	1.383030093
53	1.383029981
54	1.383030093
55	1.383029981
56	1.383029981
57	1.383029981
58	1.383030093
59	1.383029981
60	1.383029981
61	1.383029869
62	1.383029981
63	1.383029981
64	1.383029981
65	1.383029981
66	1.383029869
67	1.383029869
68	1.382839358
69	1.382839246
70	1.382839358
71	1.382839358
72	1.382839358
73	1.382839358
74	1.382839358
75	1.382358931
76	1.382358931
77	1.382358931
78	1.382358931
79	1.382358931
80	1.382358931
81	1.382358931
82	1.382009773
83	1.382009661
84	1.382009661
85	1.382009661
86	1.382009661
87	1.382009549
88	1.381665665
89	1.381665665
90	1.381665665
91	1.381665553
92	1.381665553
93	1.381665553
94	1.381665553
95	1.381665553
96	1.381472462
97	1.381472574
98	1.381472462
99	1.381472462
100	1.38147235
101	1.381472462
102	1.38147235
103	1.38147235
104	1.381472238
105	1.38147235
106	1.38147235
107	1.38147235
108	1.381472238
109	1.38147235
110	1.381472238
111	1.381472238
112	1.381472125
113	1.381472125
114	1.38095198
115	1.38095198
116	1.380462128
117	1.379874216
118	1.379874328
119	1.379874216
120	1.379874216
121	1.379874216
122	1.379874104
123	1.379874104
124	1.379874216
125	1.379874104
126	1.379873992
127	1.379873992
128	1.379873992
129	1.379873992
130	1.379873879
131	1.379873992
132	1.379390423
133	1.379390423
134	1.379084013
135	1.379084013
136	1.3790839
137	1.3790839
138	1.3790839
139	1.3790839
140	1.3790839
141	1.379083788
142	1.37875247
143	1.37875247
144	1.37875247
145	1.378752358
146	1.378549169
147	1.378221442
148	1.377684131
149	1.377506523
150	1.377506411
151	1.377506411
152	1.377185415
153	1.377185415
154	1.377185303
155	1.377185303
156	1.377185303
157	1.377185303
158	1.377185303
159	1.377185191
160	1.377039783
161	1.377039671
162	1.377039671
163	1.377039559
164	1.376838726
165	1.376838839
166	1.376838614
167	1.376838614
168	1.376838614
169	1.376838502
170	1.376838502
171	1.37683839
172	1.376838278
173	1.376838278
174	1.376311849
175	1.376113261
176	1.376113148
177	1.376113148
178	1.376113148
179	1.375796304
180	1.375796192
181	1.375796192
182	1.37579608
183	1.37579608
184	1.375795968
185	1.375795968
186	1.375795855
187	1.375795855
188	1.375795855
189	1.375795631
190	1.375795631
191	1.375795519
192	1.375795407
193	1.375795407
194	1.375795407
195	1.375795294
196	1.375482153
197	1.375482153
198	1.37548204
199	1.37548204
200	1.375481928
201	1.375481928
202	1.375481816
203	1.375172264
204	1.375172264
205	1.375172264
206	1.374751301
207	1.374751189
208	1.374751189
209	1.374751189
210	1.374751077
211	1.374602079
212	1.374601967
213	1.374601967
214	1.374601855
215	1.374601855
216	1.374601743
217	1.374601743
218	1.374601743
219	1.374601631
220	1.374601631
221	1.374601631
222	1.374014392
223	1.374014392
224	1.374014392
225	1.373809856
226	1.373809744
227	1.373482129
228	1.373481905
229	1.373481905
230	1.373481905
231	1.373481792
232	1.373481792
233	1.37348168
234	1.37348168
235	1.373291955
236	1.373291955
237	1.373291843
238	1.373291843
239	1.373291731
240	1.373291618
