iter	Passed	Remaining
0	17	34941
1	30	30433
2	44	29057
3	56	28085
4	69	27704
5	83	27548
6	97	27499
7	111	27508
8	124	27323
9	138	27388
10	153	27565
11	168	27610
12	184	27964
13	198	27965
14	211	27756
15	226	27841
16	240	27793
17	254	27834
18	270	28019
19	287	28272
20	301	28174
21	315	28158
22	329	28090
23	345	28248
24	358	28104
25	374	28238
26	390	28308
27	406	28374
28	421	28445
29	438	28567
30	455	28674
31	471	28751
32	484	28632
33	529	30363
34	564	31442
35	589	31885
36	602	31716
37	618	31663
38	632	31521
39	651	31648
40	663	31434
41	676	31267
42	689	31117
43	701	30922
44	714	30791
45	725	30570
46	738	30424
47	750	30267
48	762	30120
49	775	29980
50	787	29837
51	801	29786
52	814	29662
53	826	29542
54	838	29421
55	852	29344
56	866	29309
57	882	29306
58	897	29283
59	914	29315
60	934	29454
61	952	29532
62	972	29644
63	988	29657
64	1003	29630
65	1016	29544
66	1027	29402
67	1039	29291
68	1052	29207
69	1063	29091
70	1075	28989
71	1088	28895
72	1099	28792
73	1112	28715
74	1124	28612
75	1137	28545
76	1148	28453
77	1160	28348
78	1170	28232
79	1182	28139
80	1193	28031
81	1204	27948
82	1216	27859
83	1228	27789
84	1241	27740
85	1255	27708
86	1266	27620
87	1279	27569
88	1291	27508
89	1305	27468
90	1317	27405
91	1331	27376
92	1344	27328
93	1358	27323
94	1373	27307
95	1384	27235
96	1398	27203
97	1410	27149
98	1425	27134
99	1442	27171
100	1458	27200
101	1478	27288
102	1504	27470
103	1526	27593
104	1547	27684
105	1566	27746
106	1581	27750
107	1600	27795
108	1612	27745
109	1624	27676
110	1634	27573
111	1645	27498
112	1655	27411
113	1666	27333
114	1676	27250
115	1687	27181
116	1699	27112
117	1710	27054
118	1722	26995
119	1733	26922
120	1744	26863
121	1755	26789
122	1766	26726
123	1777	26666
124	1789	26619
125	1803	26592
126	1816	26554
127	1828	26519
128	1842	26487
129	1853	26435
130	1872	26486
131	1894	26575
132	1919	26712
133	1939	26781
134	1954	26773
135	1966	26722
136	1980	26698
137	1992	26647
138	2003	26594
139	2018	26582
140	2029	26528
141	2041	26479
142	2052	26422
143	2063	26367
144	2075	26324
145	2090	26313
146	2103	26282
147	2113	26223
148	2125	26173
149	2136	26127
150	2147	26073
151	2160	26034
152	2171	25982
153	2184	25954
154	2195	25911
155	2206	25856
156	2218	25814
157	2231	25784
158	2243	25756
159	2256	25718
160	2268	25685
161	2281	25655
162	2292	25615
163	2305	25587
164	2318	25560
165	2331	25530
166	2341	25479
167	2354	25454
168	2366	25417
169	2380	25400
170	2393	25375
171	2408	25368
172	2421	25347
173	2437	25351
174	2455	25379
175	2472	25398
176	2489	25412
177	2506	25435
178	2520	25413
179	2533	25386
180	2546	25366
181	2560	25348
182	2573	25322
183	2586	25300
184	2597	25256
185	2612	25252
186	2625	25227
187	2638	25203
188	2650	25175
189	2662	25137
190	2674	25102
191	2686	25070
192	2698	25044
193	2709	25000
194	2721	24963
195	2730	24910
196	2742	24878
197	2753	24834
198	2764	24796
199	2778	24779
200	2788	24733
201	2799	24699
202	2810	24656
203	2823	24632
204	2836	24615
205	2851	24615
206	2866	24607
207	2878	24574
208	2891	24554
209	2903	24530
210	2919	24528
211	2932	24514
212	2946	24494
213	2957	24462
214	2969	24435
215	2981	24405
216	2994	24386
217	3006	24357
218	3020	24342
219	3032	24316
220	3046	24302
221	3058	24273
222	3071	24255
223	3083	24224
224	3096	24206
225	3110	24199
226	3123	24173
227	3136	24158
228	3149	24140
229	3161	24112
230	3173	24084
231	3187	24069
232	3198	24036
233	3209	24005
234	3220	23967
235	3234	23954
236	3246	23933
237	3258	23905
238	3271	23883
239	3283	23863
240	3296	23838
241	3310	23826
242	3323	23809
243	3336	23792
244	3351	23790
245	3364	23773
246	3379	23768
247	3392	23750
248	3405	23729
249	3417	23706
250	3432	23702
251	3445	23681
252	3458	23661
253	3471	23643
254	3483	23622
255	3497	23605
256	3509	23585
257	3521	23561
258	3537	23558
259	3552	23556
260	3565	23539
261	3579	23524
262	3592	23507
263	3608	23513
264	3623	23504
265	3640	23514
266	3657	23520
267	3668	23492
268	3681	23471
269	3694	23454
270	3707	23435
271	3719	23412
272	3731	23387
273	3746	23381
274	3760	23367
275	3773	23353
276	3786	23336
277	3799	23317
278	3814	23309
279	3827	23291
280	3841	23283
281	3855	23271
282	3869	23260
283	3885	23255
284	3898	23243
285	3912	23229
286	3923	23201
287	3937	23189
288	3949	23166
289	3961	23143
290	3975	23127
291	3988	23113
292	4000	23088
293	4014	23074
294	4027	23057
295	4039	23035
296	4051	23013
297	4065	23002
298	4079	22989
299	4095	22988
300	4109	22976
301	4120	22950
302	4135	22943
303	4148	22926
304	4161	22907
305	4173	22884
306	4186	22866
307	4199	22851
308	4216	22858
309	4230	22845
310	4241	22816
311	4254	22800
312	4267	22781
313	4282	22775
314	4298	22776
315	4316	22782
316	4332	22782
317	4346	22773
318	4362	22768
319	4380	22777
320	4399	22793
321	4418	22805
322	4434	22804
323	4449	22796
324	4464	22791
325	4479	22781
326	4496	22783
327	4512	22784
328	4529	22783
329	4546	22785
330	4558	22765
331	4570	22742
332	4585	22733
333	4600	22726
334	4614	22713
335	4626	22691
336	4639	22673
337	4653	22662
338	4665	22640
339	4679	22624
340	4691	22603
341	4704	22588
342	4722	22591
343	4739	22596
344	4756	22596
345	4772	22594
346	4785	22574
347	4798	22556
