iter	MultiClass
0	1.384699786
1	1.383110753
2	1.381295098
3	1.379567182
4	1.377652769
5	1.376114457
6	1.374302334
7	1.372543618
8	1.370721181
9	1.369370778
10	1.367756031
11	1.365877363
12	1.364041222
13	1.362059134
14	1.359873878
15	1.357763785
16	1.356095773
17	1.354577382
18	1.353032006
19	1.351213243
20	1.348693565
21	1.347225613
22	1.345739294
23	1.344013073
24	1.341581274
25	1.340107105
26	1.337759795
27	1.335867423
28	1.334362736
29	1.332938442
30	1.33103406
31	1.32950804
32	1.327540362
33	1.32600205
34	1.323859321
35	1.32239264
36	1.320587299
37	1.31919875
38	1.317840435
39	1.316254369
40	1.314145124
41	1.312677737
42	1.311325073
43	1.309204102
44	1.307632022
45	1.306288543
46	1.304990415
47	1.303601865
48	1.302046317
49	1.300174854
50	1.29779194
51	1.296322858
52	1.294851515
53	1.293291728
54	1.291905438
55	1.290473655
56	1.288860604
57	1.287050318
58	1.285763776
59	1.283771374
60	1.282033991
61	1.280799442
62	1.279302809
63	1.277843899
64	1.275990945
65	1.27467431
66	1.272302557
67	1.271346622
68	1.270208995
69	1.268527137
70	1.267183374
71	1.265752015
72	1.264198586
73	1.261523494
74	1.260510197
75	1.258840914
76	1.257321393
77	1.25631615
78	1.254820223
79	1.253508391
80	1.252158836
81	1.250730585
82	1.249119511
83	1.247772217
84	1.24660605
85	1.245455141
86	1.243657147
87	1.242456931
88	1.241449992
89	1.240380746
90	1.238911381
91	1.237384796
92	1.236252537
93	1.234946357
94	1.233834443
95	1.232664603
96	1.231036292
97	1.22953203
98	1.228164673
99	1.226663943
100	1.225216194
101	1.223876671
102	1.222448843
103	1.221123024
104	1.219741821
105	1.21823982
106	1.216600913
107	1.215632968
108	1.214080811
109	1.212501526
110	1.210979038
111	1.209682323
112	1.208227935
113	1.206016964
114	1.204886119
115	1.203346252
116	1.202036116
117	1.200989617
118	1.200019836
119	1.198793764
120	1.197092833
121	1.195438385
122	1.194292987
123	1.192480864
124	1.191274714
125	1.190130728
126	1.188919915
127	1.18764185
128	1.186472292
129	1.184583593
130	1.183373981
131	1.182120076
132	1.180788676
133	1.179821014
134	1.178583074
135	1.177333479
136	1.175715341
137	1.174240112
138	1.172933367
139	1.171962173
140	1.170507572
141	1.169071621
142	1.16818096
143	1.166179374
144	1.164296609
145	1.163117444
146	1.161755315
147	1.160425751
148	1.158871969
149	1.157880854
150	1.156579194
151	1.155099657
152	1.154145135
153	1.153106689
154	1.151537224
155	1.15022631
156	1.149116375
157	1.148161712
158	1.146806364
159	1.145816026
160	1.144256945
161	1.142979728
162	1.141950113
163	1.141143234
164	1.140130997
165	1.138991391
166	1.137757761
167	1.13647355
168	1.135432561
169	1.134470269
170	1.133467074
171	1.132364344
172	1.131406855
173	1.130467591
174	1.129246747
175	1.128170437
176	1.127177768
177	1.125455362
178	1.123943753
179	1.122787758
180	1.12141588
181	1.120453799
182	1.119470667
183	1.118136017
184	1.116280026
185	1.114781132
186	1.113317702
187	1.112349192
188	1.111036159
189	1.109945085
190	1.10879121
191	1.107549314
192	1.106539408
193	1.10519501
194	1.104101958
195	1.10317753
196	1.101886184
197	1.100742764
198	1.099469503
199	1.098391639
200	1.097044909
201	1.09596097
202	1.095046149
203	1.093929432
204	1.0931915
205	1.091794261
206	1.090785768
207	1.090036322
208	1.089030866
209	1.087957877
210	1.086784787
211	1.085671672
212	1.084455278
213	1.082726655
214	1.0812628
215	1.080193696
216	1.078652559
217	1.077835648
218	1.077108878
219	1.075567034
220	1.074192895
221	1.073247627
222	1.072105055
223	1.071323112
224	1.070039679
225	1.068827029
226	1.067612825
227	1.066900395
228	1.06592355
229	1.064868786
230	1.063645681
231	1.062410425
232	1.061556498
233	1.060372388
234	1.059421539
235	1.058372215
236	1.057505714
237	1.056436609
238	1.055496852
239	1.054501357
240	1.053619809
241	1.052867889
242	1.05168717
243	1.050791423
244	1.049839232
245	1.048527894
246	1.047665207
247	1.046749256
248	1.04540952
249	1.044355039
250	1.04330741
251	1.042283093
252	1.040982352
253	1.040153503
254	1.039309325
255	1.038080851
256	1.036477266
257	1.035517375
258	1.034511284
259	1.033430099
260	1.032341639
261	1.03127967
262	1.029996801
263	1.028331827
264	1.027283704
265	1.02578693
266	1.025049845
267	1.024213438
268	1.023168069
269	1.021577906
270	1.020507813
271	1.019745226
272	1.019017891
273	1.017995693
274	1.016922633
275	1.015633053
276	1.015012176
277	1.013852155
278	1.012982969
279	1.011789534
280	1.010672675
281	1.009932765
282	1.009071774
283	1.008390215
284	1.007365545
285	1.006613979
286	1.00571922
287	1.004668907
288	1.003756205
289	1.002508658
290	1.001588539
291	1.000928526
292	1.000144958
293	0.9992414404
294	0.9980521025
295	0.9973530946
296	0.9965758147
297	0.9948822304
298	0.9939339956
299	0.993111787
300	0.9923335181
301	0.9913478427
302	0.9903917666
303	0.9896666209
304	0.9888554326
305	0.9875767319
306	0.986608152
307	0.9858308721
308	0.9849610505
309	0.9841557255
310	0.9833469391
311	0.9826065346
312	0.9815891407
313	0.9805964011
314	0.9799645035
315	0.9791505602
316	0.9783109736
317	0.9774958293
318	0.9766488252
319	0.9758386259
320	0.9746981727
321	0.9738934835
322	0.9725310008
323	0.9717195299
324	0.9710285752
325	0.970324269
326	0.9692964907
327	0.968426881
328	0.9676238166
329	0.9666283925
330	0.9658222905
331	0.964600669
332	0.9634691874
333	0.9622479898
334	0.9609564322
335	0.9599513301
336	0.9593913467
337	0.9585860923
338	0.9577358387
339	0.9569471854
340	0.9557171574
341	0.9546812552
342	0.9535083771
343	0.95252581
344	0.9517375098
345	0.9507714731
346	0.9500415943
347	0.9492002417
348	0.9485769625
349	0.947300805
350	0.9462528935
351	0.9452685603
352	0.9444765868
353	0.9436191983
354	0.9425691675
355	0.9419326782
356	0.9410201179
357	0.9401045905
358	0.939452136
359	0.9384659661
360	0.9377318488
361	0.9367924443
362	0.9359525045
363	0.9351823595
364	0.9340345595
365	0.9332560786
366	0.9325938048
367	0.931637658
368	0.9307656465
369	0.9298354961
370	0.9290969283
371	0.9283339889
372	0.9274994179
373	0.9265478629
374	0.9254208318
375	0.9248387372
376	0.9238664133
377	0.923137029
378	0.9225891961
379	0.921800684
380	0.9209879416
381	0.9202490913
382	0.9196364791
383	0.9190079018
384	0.9180628459
385	0.917179037
386	0.9167257945
387	0.916050805
388	0.9153418364
389	0.9144021493
390	0.9135612205
391	0.9127696002
392	0.9121637698
393	0.9112519865
394	0.9106493349
395	0.9099169131
396	0.9090061894
397	0.9082467821
398	0.9076473801
399	0.9070094073
400	0.9062216017
401	0.9055722555
402	0.9043570624
403	0.9032986959
404	0.9026814214
405	0.9016989955
406	0.9009398001
407	0.9000740051
408	0.899181366
409	0.8985602767
410	0.8977635701
411	0.8971372534
412	0.8965201201
413	0.8957706028
414	0.8947379501
415	0.894184819
416	0.893598062
417	0.892734245
418	0.8921455101
419	0.8913490861
420	0.8907027068
421	0.8900242558
422	0.8893559067
423	0.8887079027
424	0.8882881447
425	0.887606868
426	0.88691775
427	0.8860583835
428	0.8853417856
429	0.8845965774
430	0.8840329206
431	0.8833578604
432	0.882166262
433	0.8813122643
434	0.8804131261
435	0.8796131699
436	0.8788618158
437	0.8782323201
438	0.8775822675
439	0.8769777086
440	0.8761462459
441	0.8755730523
442	0.874877082
443	0.8741873282
444	0.8733454104
445	0.872743324
446	0.8722671933
447	0.8714621509
448	0.8709116335
449	0.8700442844
450	0.869566317
451	0.868882921
452	0.8681113632
453	0.8674139093
454	0.8667221069
455	0.8660378633
456	0.8653790509
457	0.8646459226
458	0.8639622441
459	0.8633906047
460	0.8626908196
461	0.8617922465
462	0.8611807647
463	0.8605298643
464	0.859813125
465	0.8592245314
466	0.8586849637
467	0.8580195815
468	0.8572709825
469	0.8566530016
470	0.85578099
471	0.8551654109
472	0.8544876664
473	0.8540078622
474	0.8535775079
475	0.8527738783
476	0.8520059939
477	0.8514597151
478	0.8507337217
479	0.8498590257
480	0.849229742
481	0.8487762169
482	0.8480241564
483	0.8472997171
484	0.8466423882
485	0.8459648556
486	0.8452310915
487	0.8447164606
488	0.8439419358
489	0.8435955754
490	0.8426683214
491	0.8422246862
492	0.8415226407
493	0.8410058198
494	0.8400260078
495	0.8394213076
496	0.838843169
497	0.8381558877
498	0.8374923423
499	0.8369790536
500	0.8363605075
501	0.8358017957
502	0.8351741367
503	0.8345127812
504	0.8338599028
505	0.8332614899
506	0.8326790421
507	0.8318585996
508	0.8312157525
509	0.8306816242
510	0.8302280991
511	0.8296904387
512	0.8290550797
513	0.8283356561
514	0.8277179577
515	0.8271549366
516	0.8263857806
517	0.8253017002
518	0.824729213
519	0.8242961742
520	0.8237718653
521	0.823139332
522	0.8226103606
523	0.821971964
524	0.8212389769
525	0.8207384745
526	0.8200693484
527	0.8194448683
528	0.8189515714
529	0.8184274038
530	0.81751887
531	0.8166737733
532	0.8157665111
533	0.8153918231
534	0.8147262997
535	0.8140847948
536	0.8135585078
537	0.8128200107
538	0.8120808072
539	0.8115682249
540	0.8108885023
541	0.8101716218
542	0.8095624712
543	0.8089537444
544	0.8084444117
545	0.8077473111
546	0.8069336503
547	0.8063502135
548	0.8058649699
549	0.8053292169
550	0.8046691329
551	0.8042187161
552	0.8036183958
553	0.8031070851
554	0.8026018496
555	0.8021554594
556	0.8013446243
557	0.8007942482
558	0.800354781
559	0.7997885104
560	0.7990056497
561	0.7984531544
562	0.7977336601
563	0.7970782386
564	0.7964187905
565	0.7955583643
566	0.7953392311
567	0.7948164763
568	0.7942079615
569	0.7934883965
570	0.7927949693
571	0.7921337552
572	0.79136799
573	0.7908591518
574	0.7903497484
575	0.7897622144
576	0.789287991
577	0.7888770633
578	0.7884498879
579	0.7878465299
580	0.7873402348
581	0.7865707963
582	0.7858575892
583	0.7852795919
584	0.784858633
585	0.7843334057
586	0.7838687897
587	0.7833079585
588	0.782667372
589	0.7821416502
590	0.7816875599
591	0.7810522009
592	0.7804424145
593	0.7798416703
594	0.7791858956
595	0.7787247411
596	0.7783083033
597	0.7777045921
598	0.7772279669
599	0.7763800444
600	0.7758699346
601	0.7753815121
602	0.7747923533
603	0.7742781462
604	0.773494014
605	0.7730112429
606	0.7725486755
607	0.7719816985
608	0.7715653314
609	0.7709668477
610	0.7704373819
611	0.7696987435
612	0.7693620611
613	0.7686905331
614	0.7683015046
615	0.7676698897
616	0.7669396577
617	0.7664255213
618	0.7659000114
619	0.7656137678
620	0.7650351348
621	0.7644727495
622	0.7638958119
623	0.7633077833
624	0.7627895497
625	0.7621505172
626	0.761689504
627	0.7611300857
628	0.7604798211
629	0.7597691571
630	0.7592261985
631	0.7586207213
632	0.7581915679
633	0.757610321
634	0.7571247242
635	0.7566254227
636	0.7559804563
637	0.7555826682
638	0.7550045296
639	0.7544879207
640	0.754074238
641	0.7535380611
642	0.7530771891
643	0.7526133502
644	0.7521563636
645	0.7514947962
646	0.7508992796
647	0.7503836596
648	0.749925684
649	0.7494167752
650	0.7488090374
651	0.748380661
652	0.7479823784
653	0.7475619846
654	0.7471261201
655	0.7467960075
656	0.7460649278
657	0.7456284982
658	0.7451946117
659	0.7445319847
660	0.7439646544
661	0.7434353299
662	0.7430771722
663	0.7425984277
664	0.7419053537
665	0.7415368115
666	0.7410750919
667	0.7406168337
668	0.7401461425
669	0.7397520277
