iter	MultiClass
0	1.380687561
1	1.375146179
2	1.369669189
3	1.363682861
4	1.358719482
5	1.353803406
6	1.348934326
7	1.344111481
8	1.339334717
9	1.334603119
10	1.329916687
11	1.325274506
12	1.32015152
13	1.314891357
14	1.309978638
15	1.305117035
16	1.300629272
17	1.295845642
18	1.290937805
19	1.285393219
20	1.27993248
21	1.274553833
22	1.269256134
23	1.264176636
24	1.259000778
25	1.254348297
26	1.249281464
27	1.244616394
28	1.239572144
29	1.235108566
30	1.231025925
31	1.226981812
32	1.22257431
33	1.218591385
34	1.21464592
35	1.210328674
36	1.205615387
37	1.201091003
38	1.197254181
39	1.193453445
40	1.189688263
41	1.185958328
42	1.182263184
43	1.178410492
44	1.1747789
45	1.170707169
46	1.167129517
47	1.163472443
48	1.159266052
49	1.1552211
50	1.150224915
51	1.14631691
52	1.142093811
53	1.137238464
54	1.13344017
55	1.129697342
56	1.12587471
57	1.12150322
58	1.11719223
59	1.113572388
60	1.110043182
61	1.106494598
62	1.103533249
63	1.099630966
64	1.095458374
65	1.091352386
66	1.087311096
67	1.083333435
68	1.07923912
69	1.075516205
70	1.071684494
71	1.068039856
72	1.064443665
73	1.0605616
74	1.056687012
75	1.053185196
76	1.049729233
77	1.045981827
78	1.042874832
79	1.039234314
80	1.035892868
81	1.031872406
82	1.028197327
83	1.024687958
84	1.02109169
85	1.017214355
86	1.014041367
87	1.011203156
88	1.007583466
89	1.004304276
90	1.000603485
91	0.9973925018
92	0.9939155579
93	0.9907598877
94	0.9890647125
95	0.9860945129
96	0.9827198029
97	0.979651947
98	0.978134079
99	0.9770600891
100	0.9737358856
101	0.9708521271
102	0.967585907
103	0.9646664429
104	0.9614535522
105	0.9600153351
106	0.9572351074
107	0.9540981293
108	0.9513725281
109	0.9485888672
110	0.9472067261
111	0.9445068359
112	0.9418364716
113	0.9391993713
114	0.9380812073
115	0.9354600525
116	0.9328873444
117	0.9318642426
118	0.929296875
119	0.9267699432
120	0.9238863373
121	0.9214038086
122	0.9189474487
123	0.916288147
124	0.9153087616
125	0.912661972
126	0.9100522614
127	0.9072393036
128	0.9062882996
129	0.9037271118
130	0.9011631775
131	0.898758316
132	0.897490387
133	0.8960919189
134	0.8936000824
135	0.8912600708
136	0.8884744263
137	0.8856488037
138	0.8829167175
139	0.8801751709
140	0.8774229431
141	0.874850235
142	0.8721097565
143	0.8697149658
144	0.8670520782
145	0.8642738342
146	0.8616962433
147	0.8591500854
148	0.8569573975
149	0.8544474792
150	0.8534131622
151	0.850927124
152	0.8486695099
153	0.8462267303
154	0.8437303162
155	0.8413517761
156	0.8403663635
157	0.8380926514
158	0.835741272
159	0.8333685303
160	0.8310675049
161	0.8290724182
162	0.8281316376
163	0.8261708069
164	0.8252507019
165	0.8233154297
166	0.8208477783
167	0.8184152222
168	0.8163385773
169	0.8144635773
170	0.8138291931
171	0.8117138672
172	0.809413147
173	0.807142334
174	0.8050128174
175	0.8029210663
176	0.8008520508
177	0.7985897064
178	0.7964022827
179	0.7943788147
180	0.7921658325
181	0.790110321
182	0.789254837
183	0.7874537659
184	0.7853852081
185	0.7833651733
186	0.7813681793
187	0.7792767334
188	0.777207489
189	0.7763919067
190	0.7744809723
191	0.7728207397
192	0.7707245636
193	0.76871315
194	0.7670642853
195	0.7652095032
196	0.7631652069
197	0.7612018585
198	0.7595977783
199	0.7576876068
200	0.7568940735
201	0.7550085449
202	0.7530871582
203	0.7512168121
204	0.7492604065
205	0.7482978821
206	0.746472702
207	0.7446050262
208	0.7427571106
209	0.7409426117
210	0.7398181152
211	0.737802887
212	0.7362905121
213	0.7345970917
214	0.7330062103
215	0.731272583
216	0.7297114563
217	0.7288165283
218	0.7270095825
219	0.7255879211
220	0.724485321
221	0.7234371948
222	0.7217468262
223	0.7202394104
224	0.7186437988
225	0.7172682953
226	0.7167411804
227	0.715675354
228	0.7133700562
229	0.7119351196
230	0.7101873016
231	0.7085697937
232	0.7063317108
233	0.7048931885
234	0.7034616089
235	0.7018414307
236	0.7008725739
237	0.699469986
238	0.6979730988
239	0.6963652039
240	0.695359726
241	0.6944271088
242	0.6929624939
243	0.6916884613
244	0.6901194763
245	0.6879695129
246	0.6864970398
247	0.6850388336
248	0.6835999298
249	0.6819725037
250	0.6802412415
251	0.6788076782
252	0.6773300171
253	0.6757071686
254	0.6736672974
255	0.6720921326
256	0.6705342865
257	0.6685533905
258	0.6670910645
259	0.6656700897
260	0.6641442871
261	0.662776947
