doc_id,A_YEAR,most_frequent_label,most_frequent_count,second_most_frequent_label,second_most_frequent_count,has_second_label
ungs_2017,2017,Q152_1,6,Q152_2,4,True
ungs_2018,2018,Q152_2,6,Q152_3,6,True
ungs_2019,2019,Q152_2,4,Q152_1,3,True
ungs_2020,2020,Q152_1,6,Q152_3,6,True
ungs_2021,2021,Q152_1,7,Q152_2,2,True
ungs_2022,2022,Q152_1,10,Q152_4,5,True
