iter	F1	Logloss
0	0.7857142857	0.6838322419
1	0.75	0.680514409
2	0.7924528302	0.6718816024
3	0.7777777778	0.6617945158
4	0.8148148148	0.6555200724
5	0.9310344828	0.6376298758
6	0.9152542373	0.6328136004
7	0.9152542373	0.6268390509
8	0.9491525424	0.623033817
9	0.9333333333	0.6187753677
10	0.9333333333	0.6137428284
11	0.9333333333	0.6060355993
12	0.9333333333	0.6027236718
13	0.9491525424	0.5955383961
14	0.9333333333	0.5904863798
15	0.9491525424	0.5889200064
16	0.9491525424	0.5842363651
17	0.9491525424	0.5796054327
18	0.9491525424	0.5757509378
19	0.9655172414	0.5699834824
20	0.9655172414	0.5644065417
21	0.9655172414	0.5613881258
22	0.9655172414	0.5500351832
