iter	F1	Logloss
0	0.8169014085	0.6924824348
1	0.8322147651	0.6918029052
2	0.8456375839	0.6908276631
3	0.8456375839	0.6904558035
4	0.8322147651	0.6897786947
5	0.8356164384	0.689258282
6	0.8493150685	0.6888488623
7	0.8344370861	0.6877699632
8	0.8513513514	0.6873642848
9	0.8513513514	0.6869220734
10	0.8533333333	0.6859320127
11	0.8590604027	0.6854048509
12	0.8476821192	0.6849382841
13	0.8421052632	0.6845107445
14	0.84	0.6839671502
15	0.8456375839	0.6834232624
16	0.8456375839	0.6829332205
17	0.8456375839	0.6824396574
18	0.8533333333	0.681537995
19	0.84	0.6810604976
20	0.8421052632	0.6795649895
21	0.8366013072	0.679049932
22	0.8476821192	0.6780666938
23	0.8421052632	0.6777684138
24	0.8366013072	0.6772371439
25	0.8311688312	0.6766338348
26	0.8366013072	0.6761595653
27	0.8258064516	0.6755759166
