iter	Passed	Remaining
400	22591	90028
401	22638	89934
402	22709	89936
403	22766	89880
404	22819	89811
405	22932	89978
406	22984	89903
407	23041	89848
408	23100	89804
409	23165	89781
410	23225	89736
411	23278	89665
412	23343	89641
413	23405	89606
414	23464	89559
415	23525	89522
416	23580	89457
417	23637	89405
418	23699	89369
419	23757	89315
420	23811	89249
421	23862	89173
422	23920	89120
423	23980	89078
424	24030	88998
425	24084	88932
426	24137	88863
427	24192	88800
428	24242	88719
429	24292	88638
430	24354	88603
431	24406	88528
432	24460	88465
433	24531	88459
434	24585	88392
435	24629	88294
436	24683	88228
437	24736	88159
438	24797	88117
439	24845	88033
440	24902	87977
441	24959	87922
442	25013	87859
443	25070	87802
444	25120	87724
445	25171	87648
446	25221	87569
447	25270	87486
448	25336	87463
449	25397	87422
450	25451	87357
451	25504	87291
452	25567	87255
453	25631	87227
454	25685	87160
455	25733	87076
456	25781	86989
457	25826	86896
458	25868	86790
459	25918	86713
460	25968	86637
461	26012	86539
462	26055	86438
463	26100	86345
464	26151	86272
465	26201	86196
466	26247	86106
467	26296	86026
468	26347	85951
469	26398	85877
470	26447	85799
471	26489	85698
472	26534	85606
473	26576	85505
474	26630	85442
475	26678	85359
476	26730	85291
477	26772	85190
478	26816	85096
479	26858	84995
480	26914	84939
481	26968	84876
482	27018	84804
483	27068	84728
484	27117	84651
485	27164	84567
486	27209	84478
487	27259	84403
488	27308	84328
489	27355	84242
490	27405	84168
491	27455	84096
492	27497	83998
493	27546	83922
494	27596	83849
495	27643	83766
496	27684	83666
497	27730	83580
498	27780	83507
499	27830	83437
500	27876	83350
501	27926	83278
502	27975	83203
503	28026	83133
504	28089	83099
505	28151	83063
506	28196	82975
507	28248	82910
508	28298	82838
509	28367	82821
510	28416	82747
511	28480	82715
512	28538	82667
513	28588	82594
514	28642	82535
515	28686	82447
516	28733	82366
517	28787	82304
518	28841	82244
519	28887	82162
520	28934	82081
521	28979	81998
522	29032	81935
523	29076	81847
524	29125	81773
525	29174	81699
526	29232	81652
527	29288	81596
528	29334	81514
529	29383	81442
530	29432	81370
531	29477	81283
532	29520	81195
533	29571	81127
534	29616	81043
535	29667	80976
536	29711	80891
537	29757	80810
538	29804	80732
539	29849	80647
540	29903	80589
541	29957	80531
542	29999	80441
543	30053	80383
544	30107	80322
545	30153	80244
546	30209	80190
547	30257	80116
548	30303	80037
549	30358	79979
550	30409	79913
551	30454	79831
552	30515	79791
553	30558	79704
554	30607	79634
555	30661	79575
556	30711	79508
557	30757	79430
558	30807	79361
559	30860	79301
560	30910	79233
561	30957	79155
562	31003	79078
563	31058	79021
564	31119	78982
565	31174	78928
566	31227	78866
567	31270	78781
568	31320	78714
569	31365	78634
570	31424	78589
571	31470	78510
572	31520	78444
573	31566	78365
574	31615	78295
575	31663	78223
576	31715	78160
577	31752	78062
578	31802	77995
579	31857	77941
580	31898	77852
581	31954	77800
582	32010	77747
583	32064	77690
584	32111	77615
585	32147	77516
586	32198	77452
587	32256	77404
588	32303	77331
589	32342	77237
590	32390	77166
591	32446	77116
592	32490	77034
593	32531	76947
594	32576	76870
595	32620	76788
596	32669	76720
597	32706	76624
598	32752	76549
599	32790	76455
600	32834	76376
601	32882	76306
602	32926	76227
603	32965	76138
604	33014	76069
605	33057	75987
606	33115	75942
607	33171	75889
608	33211	75801
609	33264	75745
610	33318	75689
611	33362	75609
612	33418	75559
613	33460	75476
614	33522	75440
615	33576	75383
616	33633	75333
617	33674	75250
618	33730	75199
619	33788	75152
620	33839	75089
621	33890	75027
622	33933	74947
623	33990	74898
624	34039	74832
625	34094	74779
626	34136	74698
627	34193	74648
628	34249	74597
629	34293	74520
630	34335	74439
631	34384	74372
632	34437	74315
633	34476	74228
634	34536	74184
635	34585	74120
636	34626	74037
637	34678	73977
638	34725	73907
639	34767	73826
640	34815	73759
641	34871	73707
642	34925	73653
643	34965	73568
644	35021	73518
645	35068	73448
646	35112	73371
647	35168	73321
648	35214	73250
649	35276	73211
650	35320	73135
651	35372	73078
652	35421	73011
653	35475	72958
654	35523	72891
655	35587	72857
656	35645	72810
657	35693	72742
658	35751	72696
659	35799	72629
660	35856	72581
661	35914	72534
662	35962	72466
663	36013	72407
664	36074	72366
665	36122	72298
666	36174	72241
667	36227	72183
668	36277	72120
669	36326	72057
670	36373	71988
671	36417	71913
672	36465	71847
673	36512	71778
