iter	MultiClass
0	1.378069604
1	1.369984424
2	1.362217842
3	1.354373695
4	1.345398984
5	1.337276223
6	1.329096524
7	1.321024766
8	1.313068862
9	1.305254244
10	1.297615242
11	1.290013257
12	1.282936288
13	1.276373455
14	1.269410785
15	1.262021152
16	1.255098184
17	1.248046928
18	1.241846774
19	1.235295385
20	1.228764765
21	1.221780761
22	1.215046267
23	1.209840477
24	1.203110504
25	1.198051368
26	1.192710933
27	1.187788562
28	1.181833749
29	1.177045386
30	1.170802069
31	1.165020472
32	1.159995809
33	1.153838465
34	1.146964946
35	1.140212014
36	1.133940228
37	1.128590327
38	1.123105641
39	1.117876468
40	1.112163394
41	1.107910219
42	1.101611307
43	1.095788666
44	1.090324325
45	1.084567311
46	1.079119571
47	1.074274764
48	1.068960326
49	1.063651681
50	1.058199702
51	1.0530707
52	1.047923332
53	1.043112999
54	1.038966353
55	1.034865907
56	1.030156239
57	1.025316025
58	1.02059562
59	1.01580323
60	1.011887302
61	1.007395638
62	1.002664354
63	0.9980959011
64	0.9935741429
65	0.9891254291
66	0.9844820245
67	0.9807106314
68	0.976279437
69	0.9718146167
70	0.9678671118
71	0.9635485216
72	0.9589006665
73	0.9543305888
74	0.9501518709
75	0.9456959516
76	0.9413134298
77	0.9372682263
78	0.9331347901
79	0.9296273882
80	0.9260315418
81	0.9229171949
82	0.9187504155
83	0.9157100313
84	0.9128160891
85	0.9097769059
86	0.9068203038
87	0.9030321684
88	0.9002167808
89	0.8966207224
90	0.893868913
91	0.8903385522
92	0.8873526335
93	0.884015692
94	0.8813710473
95	0.8779632513
96	0.8752353191
97	0.8720086506
98	0.868695445
99	0.8660021983
100	0.8621994398
101	0.8590623461
102	0.85601405
103	0.8533007408
104	0.8505145991
105	0.8470367257
106	0.8444921109
107	0.8413613043
108	0.8388745457
109	0.8363908954
110	0.8336000207
111	0.8308547104
112	0.8273665232
113	0.8246876876
114	0.8223119084
115	0.8196897987
116	0.8163111075
117	0.8137489733
118	0.8114521725
119	0.8086603088
120	0.8062181256
121	0.8035579396
122	0.8011732595
123	0.7989553664
124	0.7963554385
125	0.7928743156
126	0.7896470819
127	0.7874474146
128	0.7842860904
129	0.7821749382
130	0.7795675928
131	0.7764677276
132	0.7734255774
133	0.771236012
134	0.7687301093
135	0.7657489236
136	0.7636983826
137	0.7608005551
138	0.7583924923
139	0.755284362
140	0.7525472463
141	0.7500231178
142	0.7480379918
143	0.7452806017
144	0.7434077268
145	0.7406167814
146	0.7383494385
147	0.7355444353
148	0.7327829479
149	0.7305864595
150	0.7278784485
151	0.725470527
152	0.7228208667
153	0.7204267205
154	0.7186922343
155	0.7162576099
156	0.7145569614
